analysis_index	analysis_id	source_analysis_id	source_label	analysis_label	trait_ontology_label	trait_ontology_id	trait_ontology_mapping_method	source_file	source_bundle_id	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	first_author	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build
1653	ukb-b-7244	ukb-b-7244	Carbohydrate	Carbohydrate			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7244.vcf.gz				262109786	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	64979			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1654	ukb-b-7278	ukb-b-7278	Operative procedures - main OPCS: T20.2 Primary repair of inguinal hernia using insert of prosthetic material	Operative procedures - main OPCS: T20.2 Primary repair of inguinal hernia using insert of prosthetic material			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7278.vcf.gz				182915243	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	10809	452201	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1655	ukb-b-7280	ukb-b-7280	Non-cancer illness code, self-reported: emphysema/chronic bronchitis	Non-cancer illness code, self-reported: emphysema/chronic bronchitis			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7280.vcf.gz				158811261	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	6417	456516	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1656	ukb-b-7284	ukb-b-7284	Operative procedures - main OPCS: H51.1 Haemorrhoidectomy	Operative procedures - main OPCS: H51.1 Haemorrhoidectomy			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7284.vcf.gz				104059891	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	2321	460689	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1657	ukb-b-7288	ukb-b-7288	3mm asymmetry angle (left)	3mm asymmetry angle (left)			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7288.vcf.gz				273571258	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	94008			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1658	ukb-b-7289	ukb-b-7289	Pain type(s) experienced in last month: Hip pain	Pain type(s) experienced in last month: Hip pain			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7289.vcf.gz				253513828	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	461857	52087	409770	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1659	ukb-b-7294	ukb-b-7294	Operative procedures - secondary OPCS: Y52.8 Other specified approach to organ through other opening	Operative procedures - secondary OPCS: Y52.8 Other specified approach to organ through other opening			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7294.vcf.gz				75995931	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1548	461462	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1660	ukb-b-7299	ukb-b-7299	Diagnoses - secondary ICD10: Z85.5 Personal history of malignant neoplasm of urinary tract	Diagnoses - secondary ICD10: Z85.5 Personal history of malignant neoplasm of urinary tract			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7299.vcf.gz				98097986	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	2117	460893	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1661	ukb-b-73	ukb-b-73	Main speciality of consultant (recoded): Clinical haematology	Main speciality of consultant (recoded): Clinical haematology			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-73.vcf.gz				127152491	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	461112	3432	457680	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1662	ukb-b-730	ukb-b-730	Fresh tomato intake	Fresh tomato intake			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-730.vcf.gz				261369683	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	64949			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1663	ukb-b-732	ukb-b-732	Operative procedures - secondary OPCS: Z28.7 Colon NEC	Operative procedures - secondary OPCS: Z28.7 Colon NEC			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-732.vcf.gz				150470812	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	5407	457603	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1664	ukb-b-7323	ukb-b-7323	Energy	Energy			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7323.vcf.gz				262113646	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	64979			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1665	ukb-b-7330	ukb-b-7330	Diagnoses - main ICD10: K31.7 Polyp of stomach and duodenum	Diagnoses - main ICD10: K31.7 Polyp of stomach and duodenum			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7330.vcf.gz				44263294	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1053	461957	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1666	ukb-b-7337	ukb-b-7337	Types of physical activity in last 4 weeks: Walking for pleasure (not as a means of transport)	Types of physical activity in last 4 weeks: Walking for pleasure (not as a means of transport)			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7337.vcf.gz				301074483	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	460376	329755	130621	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1667	ukb-b-7350	ukb-b-7350	Medication for cholesterol, blood pressure or diabetes: Insulin	Medication for cholesterol, blood pressure or diabetes: Insulin			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7350.vcf.gz				117985721	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	209638	2891	206747	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1668	ukb-b-7352	ukb-b-7352	Diagnoses - secondary ICD10: Z92.1 Personal history of long-term (current) use of anticoagulants	Diagnoses - secondary ICD10: Z92.1 Personal history of long-term (current) use of anticoagulants			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7352.vcf.gz				149018734	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	5254	457756	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1669	ukb-b-7356	ukb-b-7356	Illness, injury, bereavement, stress in last 2 years: Death of a spouse or partner	Illness, injury, bereavement, stress in last 2 years: Death of a spouse or partner			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7356.vcf.gz				164618438	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	459742	7253	452489	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1670	ukb-b-7372	ukb-b-7372	Magnesium	Magnesium			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7372.vcf.gz				262114490	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	64979			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1671	ukb-b-7375	ukb-b-7375	Main speciality of consultant (recoded): Infectious diseases	Main speciality of consultant (recoded): Infectious diseases			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7375.vcf.gz				103887730	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	461107	2314	458793	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1672	ukb-b-7376	ukb-b-7376	Impedance of leg (right)	Impedance of leg (right)			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7376.vcf.gz				301918177	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	454863			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1673	ukb-b-7385	ukb-b-7385	Treatment/medication code: codeine	Treatment/medication code: codeine			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7385.vcf.gz				106730605	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	2423	460510	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1674	ukb-b-7408	ukb-b-7408	Average total household income before tax	Average total household income before tax			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7408.vcf.gz				301746621	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	397751			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1675	ukb-b-7414	ukb-b-7414	PCT where patients GP was registered: BRADFORD SOUTH AND WEST PCT	PCT where patients GP was registered: BRADFORD SOUTH AND WEST PCT			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7414.vcf.gz				56509008	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1213	461797	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1676	ukb-b-7418	ukb-b-7418	Diagnoses - main ICD10: Z30.2 Sterilisation	Diagnoses - main ICD10: Z30.2 Sterilisation			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7418.vcf.gz				163104433	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	7023	455987	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1677	ukb-b-7420	ukb-b-7420	Courgette intake	Courgette intake			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7420.vcf.gz				262112964	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	64949			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1678	ukb-b-7421	ukb-b-7421	Diagnoses - secondary ICD10: K51.9 Ulcerative colitis, unspecified	Diagnoses - secondary ICD10: K51.9 Ulcerative colitis, unspecified			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7421.vcf.gz				60206070	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1268	461742	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1679	ukb-b-7422	ukb-b-7422	Use of sun/uv protection	Use of sun/uv protection			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7422.vcf.gz				301509964	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	459416			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1680	ukb-b-7425	ukb-b-7425	Diagnoses - main ICD10: Z03.8 Observation for other suspected diseases and conditions	Diagnoses - main ICD10: Z03.8 Observation for other suspected diseases and conditions			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7425.vcf.gz				122244843	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	3143	459867	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1681	ukb-b-7428	ukb-b-7428	Diagnoses - main ICD10: N63 Unspecified lump in breast	Diagnoses - main ICD10: N63 Unspecified lump in breast			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7428.vcf.gz				72710364	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1481	461529	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1682	ukb-b-7429	ukb-b-7429	Blue cheese intake	Blue cheese intake			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7429.vcf.gz				261875880	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	64949			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1683	ukb-b-7432	ukb-b-7432	Number of times snap-button pressed	Number of times snap-button pressed			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7432.vcf.gz				303131919	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	460910			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1684	ukb-b-7435	ukb-b-7435	Age diabetes diagnosed	Age diabetes diagnosed			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7435.vcf.gz				207954096	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	20911			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1685	ukb-b-7436	ukb-b-7436	Diagnoses - secondary ICD10: I25.1 Atherosclerotic heart disease	Diagnoses - secondary ICD10: I25.1 Atherosclerotic heart disease			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7436.vcf.gz				153684618	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	5771	457239	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1686	ukb-b-744	ukb-b-744	Operative procedures - secondary OPCS: Z49.4 Skin of back	Operative procedures - secondary OPCS: Z49.4 Skin of back			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-744.vcf.gz				145873598	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	4928	458082	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1687	ukb-b-7443	ukb-b-7443	Operative procedures - secondary OPCS: Z81.5 Elbow joint	Operative procedures - secondary OPCS: Z81.5 Elbow joint			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7443.vcf.gz				58700577	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1245	461765	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1688	ukb-b-7444	ukb-b-7444	Diagnoses - main ICD10: I84.8 Unspecified haemorrhoids with other complications	Diagnoses - main ICD10: I84.8 Unspecified haemorrhoids with other complications			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7444.vcf.gz				104060026	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	2321	460689	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1689	ukb-b-7460	ukb-b-7460	Pack years adult smoking as proportion of life span exposed to smoking	Pack years adult smoking as proportion of life span exposed to smoking			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7460.vcf.gz				283334864	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	142387			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1690	ukb-b-7463	ukb-b-7463	Diagnoses - main ICD10: Z46.6 Fitting and adjustment of urinary device	Diagnoses - main ICD10: Z46.6 Fitting and adjustment of urinary device			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7463.vcf.gz				113996035	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	2729	460281	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1691	ukb-b-7467	ukb-b-7467	Diagnoses - secondary ICD10: R51 Headache	Diagnoses - secondary ICD10: R51 Headache			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7467.vcf.gz				99950092	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	2176	460834	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1692	ukb-b-7469	ukb-b-7469	Non-cancer illness code, self-reported: enlarged prostate	Non-cancer illness code, self-reported: enlarged prostate			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7469.vcf.gz				157470438	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	6239	456694	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1693	ukb-b-7478	ukb-b-7478	Hand grip strength (left)	Hand grip strength (left)			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7478.vcf.gz				301601207	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	461026			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1694	ukb-b-748	ukb-b-748	Filtered coffee intake	Filtered coffee intake			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-748.vcf.gz				261818597	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	64949			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1695	ukb-b-7500	ukb-b-7500	Spherical power (left)	Spherical power (left)			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7500.vcf.gz				275114321	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	99071			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1696	ukb-b-7503	ukb-b-7503	Liquid used to make porridge: Porridge with water	Liquid used to make porridge: Porridge with water			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7503.vcf.gz				129924712	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	64949	3730	61219	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1697	ukb-b-752	ukb-b-752	Operative procedures - main OPCS: H20.2 Fibreoptic endoscopic cauterisation of lesion of colon	Operative procedures - main OPCS: H20.2 Fibreoptic endoscopic cauterisation of lesion of colon			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-752.vcf.gz				90769518	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1899	461111	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1698	ukb-b-7534	ukb-b-7534	Diagnoses - main ICD10: K01.1 Impacted teeth	Diagnoses - main ICD10: K01.1 Impacted teeth			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7534.vcf.gz				78363043	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1596	461414	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1699	ukb-b-7551	ukb-b-7551	Maximum workload during fitness test	Maximum workload during fitness test			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7551.vcf.gz				264571173	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	68425			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1700	ukb-b-7556	ukb-b-7556	Age hay fever, rhinitis or eczema diagnosed	Age hay fever, rhinitis or eczema diagnosed			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7556.vcf.gz				272759729	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	91982			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1701	ukb-b-7564	ukb-b-7564	Operation code: oesphageal fundoplication/hiatus hernia surgery	Operation code: oesphageal fundoplication/hiatus hernia surgery			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7564.vcf.gz				49931829	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	1125	461808	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1702	ukb-b-758	ukb-b-758	Couscous intake	Couscous intake			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-758.vcf.gz				261760731	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	64949			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1703	ukb-b-7582	ukb-b-7582	Non-cancer illness code, self-reported: essential hypertension	Non-cancer illness code, self-reported: essential hypertension			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7582.vcf.gz				97446525	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	2095	460838	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1704	ukb-b-7584	ukb-b-7584	Non-cancer illness code, self-reported: ulcerative colitis	Non-cancer illness code, self-reported: ulcerative colitis			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7584.vcf.gz				107131622	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	2439	460494	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1705	ukb-b-7587	ukb-b-7587	Length of longest manic/irritable episode	Length of longest manic/irritable episode			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7587.vcf.gz				148900335	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	25247	5318	19929	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1706	ukb-b-7589	ukb-b-7589	PCT responsible for patient data: OLDHAM PCT	PCT responsible for patient data: OLDHAM PCT			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7589.vcf.gz				84736233	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1742	461268	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1707	ukb-b-7593	ukb-b-7593	ECG, phase duration	ECG, phase duration			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7593.vcf.gz				264584618	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	68426			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1708	ukb-b-7596	ukb-b-7596	3mm index of best keratometry results (right)	3mm index of best keratometry results (right)			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7596.vcf.gz				274129562	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	96007			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1709	ukb-b-7603	ukb-b-7603	Non-cancer illness code, self-reported: muscle or soft tissue injuries	Non-cancer illness code, self-reported: muscle or soft tissue injuries			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7603.vcf.gz				125809611	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	3347	459586	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1710	ukb-b-7609	ukb-b-7609	Operative procedures - main OPCS: B28.2 Partial excision of breast NEC	Operative procedures - main OPCS: B28.2 Partial excision of breast NEC			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7609.vcf.gz				133587880	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	3871	459139	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1711	ukb-b-7641	ukb-b-7641	Crumble intake	Crumble intake			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7641.vcf.gz				261817379	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	64948			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1712	ukb-b-7643	ukb-b-7643	Diagnoses - secondary ICD10: Z80.3 Family history of malignant neoplasm of breast	Diagnoses - secondary ICD10: Z80.3 Family history of malignant neoplasm of breast			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7643.vcf.gz				47145653	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1091	461919	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
