analysis_index	analysis_id	source_analysis_id	source_label	analysis_label	trait_ontology_label	trait_ontology_id	trait_ontology_mapping_method	source_file	source_bundle_id	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	first_author	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build
35	ukb-b-13614	ukb-b-13614	PCT where patients GP was registered: ASHTON, LEIGH AND WIGAN PCT	PCT where patients GP was registered: ASHTON, LEIGH AND WIGAN PCT			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13614.vcf.gz				107832350	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	2467	460543	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
36	ukb-b-13616	ukb-b-13616	Number of baps with  butter/margarine	Number of baps with  butter/margarine			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13616.vcf.gz				261733164	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	64942			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
37	ukb-b-13624	ukb-b-13624	PCT where patients GP was registered: SANDWELL PCT	PCT where patients GP was registered: SANDWELL PCT			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13624.vcf.gz				65962363	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1359	461651	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
38	ukb-b-13639	ukb-b-13639	Operative procedures - main OPCS: H28.9 Unspecified diagnostic endoscopic examination of sigmoid colon using rigid sigmoidoscope	Operative procedures - main OPCS: H28.9 Unspecified diagnostic endoscopic examination of sigmoid colon using rigid sigmoidoscope			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13639.vcf.gz				71288723	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1454	461556	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
39	ukb-b-13651	ukb-b-13651	Operative procedures - main OPCS: C79.2 Vitrectomy using pars plana approach	Operative procedures - main OPCS: C79.2 Vitrectomy using pars plana approach			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13651.vcf.gz				88956319	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1849	461161	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
40	ukb-b-13653	ukb-b-13653	Worry too long after embarrassment	Worry too long after embarrassment			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13653.vcf.gz				291254731	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	443918	212052	231866	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
41	ukb-b-1366	ukb-b-1366	PCT responsible for patient data: SOUTH TYNESIDE PCT	PCT responsible for patient data: SOUTH TYNESIDE PCT			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-1366.vcf.gz				88574773	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1838	461172	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
42	ukb-b-13664	ukb-b-13664	Treatment/medication code: rosuvastatin	Treatment/medication code: rosuvastatin			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13664.vcf.gz				117024611	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	2870	460063	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
43	ukb-b-13673	ukb-b-13673	Operative procedures - secondary OPCS: Y82.1 Local anaesthetic nerve block	Operative procedures - secondary OPCS: Y82.1 Local anaesthetic nerve block			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13673.vcf.gz				95508478	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	2034	460976	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
44	ukb-b-13683	ukb-b-13683	Operative procedures - secondary OPCS: Y58.8 Other specified harvest of skin for graft	Operative procedures - secondary OPCS: Y58.8 Other specified harvest of skin for graft			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13683.vcf.gz				47527166	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1096	461914	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
45	ukb-b-13686	ukb-b-13686	Mother's age	Mother's age			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13686.vcf.gz				288699275	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	180094			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
46	ukb-b-13696	ukb-b-13696	Diagnoses - main ICD10: O04.9 Complete or unspecified, without complication	Diagnoses - main ICD10: O04.9 Complete or unspecified, without complication			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13696.vcf.gz				45419604	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1068	461942	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
47	ukb-b-13702	ukb-b-13702	Time spent doing vigorous physical activity	Time spent doing vigorous physical activity			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13702.vcf.gz				261514703	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	64949			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
48	ukb-b-13704	ukb-b-13704	Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Blood clot in the lung	Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Blood clot in the lung			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13704.vcf.gz				132886097	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462013	3819	458194	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
49	ukb-b-13731	ukb-b-13731	Diagnoses - main ICD10: K22.1 Ulcer of oesophagus	Diagnoses - main ICD10: K22.1 Ulcer of oesophagus			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13731.vcf.gz				124127117	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	3251	459759	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
50	ukb-b-13743	ukb-b-13743	PCT where patients GP was registered: NOT KNOWN	PCT where patients GP was registered: NOT KNOWN			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13743.vcf.gz				208095952	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	19076	443934	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
51	ukb-b-13745	ukb-b-13745	Irritability	Irritability			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13745.vcf.gz				280841222	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	442169	125001	317168	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
52	ukb-b-13764	ukb-b-13764	Long-standing illness, disability or infirmity	Long-standing illness, disability or infirmity			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13764.vcf.gz				284129504	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	451893	147104	304789	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
53	ukb-b-13770	ukb-b-13770	Diagnoses - secondary ICD10: O70.1 Second degree perineal laceration during delivery	Diagnoses - secondary ICD10: O70.1 Second degree perineal laceration during delivery			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13770.vcf.gz				70871306	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1446	461564	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
