analysis_id	source_analysis_id	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	ancestry_reference_id	af_overlap	dominant_superpop	dominant_proportion	runner_up_margin	nnls_residual	gate_reason	eaf_orientation	eaf_orientation_r	source_assigned_mismatch	ancestry_notes	ancestry_prop_AFR	ancestry_prop_AMR	ancestry_prop_EAS	ancestry_prop_EUR	ancestry_prop_MID	ancestry_prop_NAF	ancestry_prop_SAS
GCST90006905	GCST90006905	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.00601108	ok	passed	0.978237	false		0	0	0	1	0	0	0
GCST90006906	GCST90006906	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.00629129	ok	passed	0.978274	false		0	0	0	1	0	0	0
GCST90006907	GCST90006907	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	0.997674	0.995349	0.00817712	ok	passed	0.978133	false		0	0	0	0.997674	0.00232572	0	0
GCST90006908	GCST90006908	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.00601408	ok	passed	0.978237	false		0	0	0	1	0	0	0
GCST90006909	GCST90006909	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.00609338	ok	passed	0.978243	false		0	0	0	1	0	0	0
GCST90006910	GCST90006910	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.00601408	ok	passed	0.978237	false		0	0	0	1	0	0	0
GCST90006911	GCST90006911	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.010309	ok	passed	0.977629	false		0	0	0	1	0	0	0
GCST90006912	GCST90006912	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.00880019	ok	passed	0.977871	false		0	0	0	1	0	0	0
GCST90006913	GCST90006913	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.00752893	ok	passed	0.97798	false		0	0	0	1	0	0	0
GCST90006914	GCST90006914	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.00738194	ok	passed	0.978048	false		0	0	0	1	0	0	0
GCST90006915	GCST90006915	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.00789189	ok	passed	0.978185	false		0	0	0	1	0	0	0
GCST90006916	GCST90006916	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	0.999563	0.999126	0.00825385	ok	passed	0.978103	false		0	0	0.000436792	0.999563	0	0	0
GCST90006917	GCST90006917	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.00601108	ok	passed	0.978237	false		0	0	0	1	0	0	0
GCST90006918	GCST90006918	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.00623565	ok	passed	0.978245	false		0	0	0	1	0	0	0
GCST90006919	GCST90006919	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.00601108	ok	passed	0.978237	false		0	0	0	1	0	0	0
GCST90006920	GCST90006920	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.00886912	ok	passed	0.977805	false		0	0	0	1	0	0	0
GCST90006921	GCST90006921	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.00601408	ok	passed	0.978237	false		0	0	0	1	0	0	0
GCST90006922	GCST90006922	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.00657364	ok	passed	0.978191	false		0	0	0	1	0	0	0
GCST90006923	GCST90006923	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.00601408	ok	passed	0.978237	false		0	0	0	1	0	0	0
GCST90006924	GCST90006924	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.00627634	ok	passed	0.978228	false		0	0	0	1	0	0	0
GCST90006925	GCST90006925	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.00601408	ok	passed	0.978237	false		0	0	0	1	0	0	0
GCST90006926	GCST90006926	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.00900936	ok	passed	0.977889	false		0	0	0	1	0	0	0
GCST90006927	GCST90006927	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.00672148	ok	passed	0.97822	false		0	0	0	1	0	0	0
GCST90006928	GCST90006928	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.00601408	ok	passed	0.978237	false		0	0	0	1	0	0	0
GCST90006929	GCST90006929	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.00619038	ok	passed	0.978226	false		0	0	0	1	0	0	0
GCST90006934	GCST90006934	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.00657164	ok	passed	0.979197	false		0	0	0	1	0	0	0
GCST90007310	GCST90007310	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	23399	EUR	0.987644	0.977319	0.0229577	ok	passed	0.960088	false		0	0	0.00203042	0.987644	0.0103253	0	0
GCST90007311	GCST90007311	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	23392	EUR	0.989603	0.981476	0.0235301	ok	passed	0.959938	false		0	0	0.00226953	0.989603	0.00812708	0	0
GCST90007312	GCST90007312	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	23397	EUR	0.9882	0.978714	0.0229007	ok	passed	0.960099	false		0	0	0.00231505	0.9882	0.00948542	0	0
GCST90007316	GCST90007316	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	23371	EUR	0.988784	0.979185	0.0229501	ok	passed	0.960064	false		0	0	0.00161725	0.988784	0.00959884	0	0
GCST90007317	GCST90007317	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	23317	EUR	0.991935	0.985079	0.0236752	ok	passed	0.959691	false		0	0	0.0012093	0.991935	0.00685593	0	0
GCST90007318	GCST90007318	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	23338	EUR	0.990163	0.981847	0.0230079	ok	passed	0.95995	false		0	0	0.00152028	0.990163	0.00831644	0	0
GCST90007322	GCST90007322	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	23399	EUR	0.987702	0.977415	0.0229352	ok	passed	0.960098	false		0	0	0.00201159	0.987702	0.0102868	0	0
GCST90007323	GCST90007323	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	23398	EUR	0.989588	0.981426	0.0235102	ok	passed	0.959936	false		0	0	0.0022491	0.989588	0.00816261	0	0
GCST90007324	GCST90007324	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	23398	EUR	0.988227	0.97878	0.0228777	ok	passed	0.960096	false		0	0	0.0023257	0.988227	0.00944734	0	0
GCST90007328	GCST90007328	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	23371	EUR	0.988838	0.979283	0.0229312	ok	passed	0.960067	false		0	0	0.00160709	0.988838	0.00955487	0	0
GCST90007329	GCST90007329	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	23317	EUR	0.991976	0.985127	0.0236592	ok	passed	0.95969	false		0	0	0.00117493	0.991976	0.0068491	0	0
GCST90007330	GCST90007330	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	23338	EUR	0.990208	0.981935	0.0229969	ok	passed	0.959952	false		0	0	0.0015189	0.990208	0.00827296	0	0
GCST90007526	GCST90007526	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	0.991955	0.988259	0.00521524	ok	passed	0.981904	false		0.00174686	0.00369601	0.0013862	0.991955	0	0	0.0012158
GCST90007527	GCST90007527	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	0.992365	0.989157	0.00518234	ok	passed	0.981901	false		0.00173738	0.00320726	0.00148531	0.992365	0	0	0.00120529
GCST90007528	GCST90007528	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	0.991687	0.987725	0.00541458	ok	passed	0.982009	false		0.00167331	0.0039626	0.00121529	0.991687	0	0	0.00146168
GCST90007529	GCST90007529	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	0.990595	0.986052	0.00545587	ok	passed	0.982091	false		0.00182539	0.00454347	0.00139219	0.990595	0	0	0.00164391
GCST90007530	GCST90007530	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	0.994108	0.992078	0.00499557	ok	passed	0.981784	false		0.0016104	0.00202929	0.00140944	0.994108	0	0	0.000843244
GCST90007531	GCST90007531	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	0.989669	0.98426	0.00572557	ok	passed	0.982202	false		0.00190375	0.00540855	0.00148479	0.989669	0	0	0.001534
GCST90010423	GCST90010423	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
