analysis_id	source_analysis_id	source_label	analysis_label	trait_ontology_label	trait_ontology_id	trait_ontology_mapping_method	source_file	source_bundle_id	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build
ukb-b-8470	ukb-b-8470	Operation code: other bowel surgery	Operation code: other bowel surgery			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-8470.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	462933	2814	460119		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-8476	ukb-b-8476	Loneliness, isolation	Loneliness, isolation			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-8476.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	455364	82436	372928		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-8491	ukb-b-8491	Operation code: other thoracic surgery	Operation code: other thoracic surgery			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-8491.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	462933	1440	461493		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-8517	ukb-b-8517	Non-cancer illness code, self-reported: urinary frequency / incontinence	Non-cancer illness code, self-reported: urinary frequency / incontinence			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-8517.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	462933	1624	461309		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-8537	ukb-b-8537	Starch	Starch			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-8537.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	total	analysis_level	64979				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-8539	ukb-b-8539	Operative procedures - main OPCS: W15.3 Osteotomy of first metatarsal bone NEC	Operative procedures - main OPCS: W15.3 Osteotomy of first metatarsal bone NEC			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-8539.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	1137	461873		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-8543	ukb-b-8543	PCT responsible for patient data: SALFORD PCT	PCT responsible for patient data: SALFORD PCT			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-8543.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	1407	461603		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-8549	ukb-b-8549	Diagnoses - main ICD10: D24 Benign neoplasm of breast	Diagnoses - main ICD10: D24 Benign neoplasm of breast			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-8549.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	1244	461766		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-8553	ukb-b-8553	Decaffeinated tea	Decaffeinated tea			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-8553.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	total	analysis_level	64949				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-8566	ukb-b-8566	Operative procedures - main OPCS: W84.8 Other specified therapeutic endoscopic operations on other joint structure	Operative procedures - main OPCS: W84.8 Other specified therapeutic endoscopic operations on other joint structure			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-8566.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	1952	461058		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-8572	ukb-b-8572	Operative procedures - main OPCS: P23.1 Anterior and posterior colporrhaphy NEC	Operative procedures - main OPCS: P23.1 Anterior and posterior colporrhaphy NEC			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-8572.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	1559	461451		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-8587	ukb-b-8587	Treatment/medication code: beclomethasone	Treatment/medication code: beclomethasone			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-8587.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	462933	1835	461098		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-8602	ukb-b-8602	Treatment/medication code: gliclazide	Treatment/medication code: gliclazide			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-8602.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	462933	3840	459093		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-8607	ukb-b-8607	Ankle spacing width (right)	Ankle spacing width (right)			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-8607.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	total	analysis_level	146181				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-8621	ukb-b-8621	Operative procedures - main OPCS: M47.9 Unspecified urethral catheterisation of bladder	Operative procedures - main OPCS: M47.9 Unspecified urethral catheterisation of bladder			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-8621.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	1496	461514		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-8624	ukb-b-8624	Treatment/medication code: vagifem 25mcg pessary	Treatment/medication code: vagifem 25mcg pessary			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-8624.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	462933	1265	461668		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
